id,Station ID,area,perimeter,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,B19013001,calculated areas
"0","1",15164894.247381,14925.757219,"255","3",Brooklyn,"025500","3025500",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025500","4303",5088.55372594000,1492220.44066000008,"22291",135951.592
"0","1",15164894.247381,14925.757219,"256","3",Brooklyn,"025600","3025600",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025600","4311",6363.82391855000,1868287.04814999993,"69181",173569.104
"0","1",15164894.247381,14925.757219,"257","3",Brooklyn,"025700","3025700",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025700","4303",6440.91239526000,1949087.11535000009,"106579",54272.358
"0","1",15164894.247381,14925.757219,"258","3",Brooklyn,"025800","3025800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025800","4311",6257.55431926000,1832115.44103000010,"57431",170208.618
"0","1",15164894.247381,14925.757219,"259.01","3",Brooklyn,"025901","3025901",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025901","4303",4269.11857746000,863635.59341199999,"75341",65212.865
"0","1",15164894.247381,14925.757219,"259.02","3",Brooklyn,"025902","3025902",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025902","4303",3211.23589623000,642013.98588399997,"21674",2619.504
"0","1",15164894.247381,14925.757219,"260","3",Brooklyn,"026000","3026000",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026000","4311",5699.18918492000,1753286.06428999989,"61118",162367.811
"0","1",15164894.247381,14925.757219,"261","3",Brooklyn,"026100","3026100",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026100","4303",5880.89745378000,2146491.99548000004,"81827",191131.992
"0","1",15164894.247381,14925.757219,"262","3",Brooklyn,"026200","3026200",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026200","4311",5384.76786290000,1699502.94799000002,"107760",97933.679
"0","1",15164894.247381,14925.757219,"263","3",Brooklyn,"026300","3026300",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026300","4303",4799.55654215000,1287405.88491000002,"77546",64384.032
"0","1",15164894.247381,14925.757219,"264","3",Brooklyn,"026400","3026400",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026400","4311",7095.08629054000,2038976.39950000006,"73029",189426.619
"0","1",15164894.247381,14925.757219,"265","3",Brooklyn,"026500","3026500",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026500","4303",5341.61806710000,1718284.07001999998,"77545",30234.052
"0","1",15164894.247381,14925.757219,"266","3",Brooklyn,"026600","3026600",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026600","4311",7706.99958786000,1785503.08501000004,"51724",128966.776
"0","1",15164894.247381,14925.757219,"267","3",Brooklyn,"026700","3026700",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026700","4303",5340.24442729000,1717368.23662000010,"121771",150211.559
"0","1",15164894.247381,14925.757219,"268","3",Brooklyn,"026800","3026800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026800","4311",6339.14456019000,1926489.42889999994,"80500",44372.579
"0","1",15164894.247381,14925.757219,"269","3",Brooklyn,"026900","3026900",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026900","4303",5051.01870640000,1441848.66580000008,"89573",133619.096
"0","1",15164894.247381,14925.757219,"270","3",Brooklyn,"027000","3027000",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027000","4311",5255.80105569000,1444005.62538000010,"43269",187.524
