CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"249","1",Manhattan,"024900","1024900",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024900","4112",3927.82154387000,652856.29944199999
"255","1",Manhattan,"025500","1025500",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061025500","4112",10781.38140670000,4718124.84312999994
"265","1",Manhattan,"026500","1026500",,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061026500","4112",6222.52766971000,2081505.51832000003
"267","1",Manhattan,"026700","1026700",,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061026700","4112",3868.79308853000,519544.63423800003
"269","1",Manhattan,"026900","1026900",,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061026900","4112",6017.03663476000,1889655.54983999999
"271","1",Manhattan,"027100","1027100",,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061027100","4112",6484.39184968000,2075200.78391000000
"293","1",Manhattan,"029300","1029300",,Inwood,MN1203,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061029300","4112",5489.62414985000,1690644.73182999995
"295","1",Manhattan,"029500","1029500",,Inwood,MN1203,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061029500","4112",5236.02362895000,1459956.20925000007
"2","2",Bronx,"000200","2000200",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005000200","4209",15251.73541390000,4877012.54236000031
"16","2",Bronx,"001600","2001600",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005001600","4209",9671.30641531000,5221330.10828999989
"19.04","2",Bronx,"001904","2001904",,North & South Brother Islands,BX0291,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005001904","4221",6884.55141715000,930649.17531500000
"20.02","2",Bronx,"002002","2002002",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005002002","4209",7147.29293473000,2205268.54956999980
"23","2",Bronx,"002300","2002300",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002300","4221",4717.34230537000,1126745.17996999994
"25","2",Bronx,"002500","2002500",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002500","4221",5019.28198497000,1372151.25720999995
"27.01","2",Bronx,"002701","2002701",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002701","4221",4100.51370609000,875817.56043900002
"27.02","2",Bronx,"002702","2002702",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002702","4221",6087.90048070000,1677797.98907999997
"38","2",Bronx,"003800","2003800",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005003800","4209",3473.80570572000,682166.27015999996
"39","2",Bronx,"003900","2003900",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005003900","4221",7427.77773285000,2326464.74674999993
"40.01","2",Bronx,"004001","2004001",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004001","4209",4916.71564064000,1325276.21781000006
"42","2",Bronx,"004200","2004200",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004200","4209",10388.26725310000,5209131.53278999962
"44","2",Bronx,"004400","2004400",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004400","4209",8648.84096843000,2870570.35980000021
"46","2",Bronx,"004600","2004600",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004600","4209",5344.87564346000,1435084.95727999997
"48","2",Bronx,"004800","2004800",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004800","4209",5435.96613838000,1600408.89595000003
"50.01","2",Bronx,"005001","2005001",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005005001","4209",4206.12179565000,1053604.26778999995
"50.02","2",Bronx,"005002","2005002",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005005002","4209",4539.78999066000,1226231.42461999995
"54","2",Bronx,"005400","2005400",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005005400","4209",6397.43689409000,2133456.89397000009
"63.02","2",Bronx,"006302","2006302",,Yankee Stadium-Macombs Dam Park,BX0491,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005006302","4204",9673.85323021000,2808902.88560000015
"64","2",Bronx,"006400","2006400",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005006400","4209",5746.67746943000,1799541.05346999993
"65","2",Bronx,"006500","2006500",,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005006500","4221",9811.63837771000,2816010.81172000011
"68","2",Bronx,"006800","2006800",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005006800","4209",5589.02760859000,1674049.11606999999
"70","2",Bronx,"007000","2007000",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007000","4209",6251.69253064000,2207823.35061000008
"72","2",Bronx,"007200","2007200",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007200","4209",7438.84795617000,2283208.28335999977
"74","2",Bronx,"007400","2007400",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007400","4209",6409.12910531000,2012633.62061000010
"76","2",Bronx,"007600","2007600",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007600","4209",6696.96571114000,2343060.64845999982
"79","2",Bronx,"007900","2007900",,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005007900","4221",7474.50243197000,2126625.73325000005
"84","2",Bronx,"008400","2008400",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005008400","4209",6555.89741250000,1674998.44351999997
"85","2",Bronx,"008500","2008500",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005008500","4221",6463.49910239000,1966131.48221999989
"86","2",Bronx,"008600","2008600",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005008600","4209",6419.32232282000,2019879.82661000011
"87","2",Bronx,"008700","2008700",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005008700","4221",6953.98445711000,2302753.25282000005
"92","2",Bronx,"009200","2009200",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005009200","4209",9231.80088386000,3334997.93093999987
"117.02","2",Bronx,"011702","2011702",,Hunts Point,BX0201,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005011702","4221",16178.38276660000,12494792.98980000056
"119","2",Bronx,"011900","2011900",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005011900","4221",5517.06414125000,1811090.68417000002
"121.01","2",Bronx,"012101","2012101",,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005012101","4263",4426.94578192000,1251776.20203000004
"121.02","2",Bronx,"012102","2012102",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005012102","4221",3867.35701223000,555873.81586199999
"125","2",Bronx,"012500","2012500",,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005012500","4263",5707.51688254000,1828803.45513999998
"129.01","2",Bronx,"012901","2012901",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005012901","4221",7111.85698351000,1682640.15681999992
"130","2",Bronx,"013000","2013000",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005013000","4210",6464.91410347000,1248461.17813999997
"131","2",Bronx,"013100","2013100",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005013100","4221",6532.97313075000,2477239.18702000007
"132","2",Bronx,"013200","2013200",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005013200","4210",18509.57600250000,6520114.09203999955
"133","2",Bronx,"013300","2013300",,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005013300","4263",5723.84989947000,1734820.29150000005
"135","2",Bronx,"013500","2013500",,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005013500","4263",6997.16912518000,1807152.91519000009
"144","2",Bronx,"014400","2014400",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005014400","4210",9857.75347328000,4326450.92795000039
"149","2",Bronx,"014900","2014900",,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005014900","4263",5912.24817584000,1677784.80899999989
"152","2",Bronx,"015200","2015200",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005015200","4210",8733.30802276000,3050706.49171000021
"153","2",Bronx,"015300","2015300",,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005015300","4263",7313.93621682000,2522690.15332000004
"158","2",Bronx,"015800","2015800",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005015800","4210",5918.69107426000,1751816.31615999993
"160","2",Bronx,"016000","2016000",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005016000","4210",17368.21786400000,5532323.32693000045
"162","2",Bronx,"016200","2016200",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005016200","4210",5599.10771892000,1944076.78520000004
"164","2",Bronx,"016400","2016400",,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005016400","4210",5508.37685665000,1768563.73533999990
"171","2",Bronx,"017100","2017100",,Claremont Park,BX0492,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017100","4204",6258.49002438000,1863712.18139000004
"175","2",Bronx,"017500","2017500",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017500","4204",5723.65400571000,1631792.14090000000
