CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,calculated,id,Station ID,area,perimeter,DepArea
"311","3",Brooklyn,"031100","3031100",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031100","4308",5523.52821740000,1632165.33810999990,151633.889,"0","1",15164894.247381,14925.757219,1220038.409
"313","3",Brooklyn,"031300","3031300",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031300","4308",5522.61922872000,1876205.47310999990,174306.076,"0","1",15164894.247381,14925.757219,1686012.294
"314.01","3",Brooklyn,"031401","3031401",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047031401","4313",20497.04849690000,4719371.29440999962,438441.023,"0","1",15164894.247381,14925.757219,2773860.678
"315","3",Brooklyn,"031500","3031500",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031500","4308",5727.11870564000,1940364.93216000008,180270.456,"0","1",15164894.247381,14925.757219,683903.761
"317.01","3",Brooklyn,"031701","3031701",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031701","4308",5033.48615170000,1504294.03269000002,139754.157,"0","1",15164894.247381,14925.757219,377789.163
"317.02","3",Brooklyn,"031702","3031702",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031702","4308",5031.46342995000,1500336.70005000010,139386.467,"0","1",15164894.247381,14925.757219,944560.720
"319","3",Brooklyn,"031900","3031900",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047031900","4309",5787.18842544000,1631610.70904999995,151582.205,"0","1",15164894.247381,14925.757219,1631610.709
"321","3",Brooklyn,"032100","3032100",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032100","4309",6039.88563741000,1724842.16112999991,160243.725,"0","1",15164894.247381,14925.757219,1721570.790
"323","3",Brooklyn,"032300","3032300",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032300","4309",6269.42149535000,1862961.94738000003,173075.519,"0","1",15164894.247381,14925.757219,1426174.959
"325","3",Brooklyn,"032500","3032500",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032500","4309",6293.88539143000,1812069.76948000002,168347.475,"0","1",15164894.247381,14925.757219,449216.399
"326","3",Brooklyn,"032600","3032600",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047032600","4313",7873.19667752000,3542648.85815000022,329120.058,"0","1",15164894.247381,14925.757219,674.579
"329","3",Brooklyn,"032900","3032900",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032900","4309",7138.85275832000,1683542.59908000007,156406.791,"0","1",15164894.247381,14925.757219,1683542.599
"331","3",Brooklyn,"033100","3033100",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033100","4309",7551.85744918000,1533546.83000000007,142471.692,"0","1",15164894.247381,14925.757219,1113830.547
"333","3",Brooklyn,"033300","3033300",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033300","4309",7463.48008853000,2005663.04370000004,186332.922,"0","1",15164894.247381,14925.757219,1681523.205
"335","3",Brooklyn,"033500","3033500",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033500","4309",7422.43753940000,1944377.10293000005,180639.285,"0","1",15164894.247381,14925.757219,1262863.830
"337.01","3",Brooklyn,"033701","3033701",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047033701","4308",6850.20428919000,1061778.63780999999,98642.892,"0","1",15164894.247381,14925.757219,526200.165
"337.02","3",Brooklyn,"033702","3033702",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033702","4309",6854.93980535000,1065103.77441000007,98951.800,"0","1",15164894.247381,14925.757219,521860.518
"339","3",Brooklyn,"033900","3033900",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047033900","4308",7419.80372332000,1945657.82856999990,180758.341,"0","1",15164894.247381,14925.757219,1255138.055
"341","3",Brooklyn,"034100","3034100",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034100","4308",5030.77676874000,1504308.06279000011,139755.456,"0","1",15164894.247381,14925.757219,1382326.680
"343","3",Brooklyn,"034300","3034300",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034300","4308",5689.14812956000,1745165.90516000008,162131.988,"0","1",15164894.247381,14925.757219,1165905.084
"345","3",Brooklyn,"034500","3034500",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034500","4308",5684.44596965000,1759935.57526999991,163504.137,"0","1",15164894.247381,14925.757219,379.904
"347","3",Brooklyn,"034700","3034700",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034700","4308",5032.96738096000,1505056.71962000011,139824.995,"0","1",15164894.247381,14925.757219,4381.548
"348","3",Brooklyn,"034800","3034800",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047034800","4313",18476.54730500000,6985056.38136000000,648935.619,"0","1",15164894.247381,14925.757219,1172361.518
"352","3",Brooklyn,"035200","3035200",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047035200","4313",32555.78780130000,10662098.72760000080,990562.570,"0","1",15164894.247381,14925.757219,1169496.237
